State ,District,Total Gram Panchayats,Service Ready Gram Panchayats
UTTAR PRADESH WEST,SHAMLI,230,74
UTTARAKHAND,ALMORA,1160,210
UTTARAKHAND,BAGESHWAR,407,185
UTTARAKHAND,CHAMOLI,610,52
UTTARAKHAND,CHAMPAWAT,313,65
UTTARAKHAND,DEHRADUN,401,155
UTTARAKHAND,HARIDWAR,306,299
UTTARAKHAND,NAINITAL,479,162
UTTARAKHAND,PAURI GARHWAL,1174,242
UTTARAKHAND,PITHORAGARH,686,43
UTTARAKHAND,RUDRA PRAYAG,336,2
UTTARAKHAND,TEHRI GARHWAL,1034,118
UTTARAKHAND,UDAM SINGH NAGAR,376,233
UTTARAKHAND,UTTAR KASHI,508,72
WEST BENGAL,24 PARAGANAS NORTH,199,142
WEST BENGAL,24 PARAGANAS SOUTH,310,120
WEST BENGAL,ALIPURDUAR,66,66
WEST BENGAL,BANKURA,190,190
WEST BENGAL,BIRBHUM,167,167
WEST BENGAL,COOCHBEHAR,128,128
WEST BENGAL,DARJEELING,92,22
WEST BENGAL,DINAJPUR DAKSHIN,64,42
WEST BENGAL,DINAJPUR UTTAR,98,76
WEST BENGAL,HOOGHLY,207,98
WEST BENGAL,HOWRAH,157,117
WEST BENGAL,JALPAIGURI,80,80
WEST BENGAL,JHARGRAM,79,79
WEST BENGAL,KALIMPONG,32,0
WEST BENGAL,MALDAH,144,109
WEST BENGAL,MEDINIPUR EAST,223,223
WEST BENGAL,MEDINIPUR WEST,211,211
WEST BENGAL,MURSHIDABAD,250,250
WEST BENGAL,NADIA,185,185
WEST BENGAL,PASCHIM BARDHAMAN,62,56
WEST BENGAL,PURBA BARDHAMAN,215,116
WEST BENGAL,PURULIA,170,170
Total,,262489,208099
